Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
empire-oval-table-with-claw-feet-and-rounded-drawers,Empire Oval Table with Claw Feet and Rounded Drawers,"<p>Antique empire claw foot oval table with casters, curved drawers tiger wood mahogany detail and wood veneer.</p><p><strong>Materials:</strong> Mahogany</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Antique 19th Century American Empire Center Tables</p>",Antique Furniture Co.,Furniture > Tables,Table,"19th Century, Antique, Mahogany, Empire",TRUE,Title,Default Title,,,,,ANT-TABLE-001,25000,shopify,1,deny,manual,11000,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/13_13/clawfoottable1/ORG_clawfootTable1.jpg?width=2000&quality=90,1,Empire Oval Table with Claw Feet and Rounded Drawers,FALSE,Empire Oval Table with Claw Feet and Rounded Drawe | Antique Furniture Co.,"Antique empire claw foot oval table with casters, curved drawers tiger wood mahogany detail and wood veneer.",Furniture > Tables,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
empire-oval-table-with-claw-feet-and-rounded-drawers,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/8899/13_13/clawfoottable1/XXX_CLAWFOOTTABLE1_A-01.jpg?width=2000&quality=90,2,Empire Oval Table with Claw Feet and Rounded Drawers - Image 2,,,,,,,,,,,,,,,,,,,,
one-of-a-kind-erte-original-painting-femme-au-collant-resille,"One of a Kind Erté Original Painting ""Femme Au Collant Resille""","<p>Signed original gouache painting by Romain de Tirtoff, aka Erté. This very rare original features a woman wearing fishnet stockings and a pearl-and-lace top with black gloves and a ...</p><p><strong>Materials:</strong> Gouache</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Vintage 1920s French Art Deco Paintings</p>",Antique Furniture Co.,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Painting,"Art Deco, French, Gouache",TRUE,Title,Default Title,,,,,ANT-PAINTING-002,5000,shopify,1,deny,manual,25600,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/f_8899/f_3197272/IMG_4468_5_master.jpg?width=2000&quality=90,1,"One of a Kind Erté Original Painting ""Femme Au Collant Resille""",FALSE,"One of a Kind Erté Original Painting ""Femme Au Co | Antique Furniture Co.","Signed original gouache painting by Romain de Tirtoff, aka Erté. This very rare original features a woman wearing fishnet stockings and a pearl-and-lace t","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
one-of-a-kind-erte-original-painting-femme-au-collant-resille,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_31972721456837243192/3197272_master.jpg?width=2000&quality=90,2,"One of a Kind Erté Original Painting ""Femme Au Collant Resille"" - Image 2",,,,,,,,,,,,,,,,,,,,
one-of-a-kind-erte-original-painting-femme-au-collant-resille,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/f_8899/f_3197272/IMG_4468_5_s.jpg?width=2000&quality=90,3,"One of a Kind Erté Original Painting ""Femme Au Collant Resille"" - Image 3",,,,,,,,,,,,,,,,,,,,
one-of-a-kind-erte-original-painting-femme-au-collant-resille,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_31972721456837243192/3197272_s.jpg?width=2000&quality=90,4,"One of a Kind Erté Original Painting ""Femme Au Collant Resille"" - Image 4",,,,,,,,,,,,,,,,,,,,
set-of-sang-de-boeuf-lidded-jars,Set of Sang de Boeuf Lidded Jars,"<p>These Late 19th/ early 20th century traditional Chinese Sang de Boeuf Jars with original lids feature beautiful rimmed glaze that flares from red to flambé. Raised on intricate base...</p><p><strong>Materials:</strong> Ceramic</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Antique 19th Century Chinese Ceramics</p>",Antique Furniture Co.,Home & Garden > Decor,Decorative Object,"19th Century, Antique, Chinese, Ceramic",TRUE,Title,Default Title,,,,,ANT-DECORATIVE-003,5000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/8899/31_13/862963/ORG_862963.jpg?width=2000&quality=90,1,Set of Sang de Boeuf Lidded Jars,FALSE,Set of Sang de Boeuf Lidded Jars | Antique Furniture Co.,These Late 19th/ early 20th century traditional Chinese Sang de Boeuf Jars with original lids feature beautiful rimmed glaze that flares from red to flambe,Home & Garden > Decor,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
pair-of-bergere-chairs-with-napoleonic-bee-upholstery,Pair of Bergere Chairs with Napoleonic Bee Upholstery,"<p>Beautiful pair of bergere chairs with Napoleonic bee upholstery and beautiful French carved frame with nailhead trim.</p><p><strong>Materials:</strong> Fruitwood</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> 20th Century French French Provincial Bergere Chairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, French, Fruitwood",TRUE,Title,Default Title,,,,,ANT-CHAIR-004,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesD/upload/8899/54/8899_1275371170_1_1.jpg?width=2000&quality=90,1,Pair of Bergere Chairs with Napoleonic Bee Upholstery,FALSE,Pair of Bergere Chairs with Napoleonic Bee Upholst | Antique Furniture Co.,Beautiful pair of bergere chairs with Napoleonic bee upholstery and beautiful French carved frame with nailhead trim.,Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
french-country-provence-chair-and-ottoman,French Country Provence Chair and Ottoman,"<p>Diamond point spun straw gathered and tucked at centre. Framed oak with wavy graduated ladderbacks, sloped arms, well turned spindle sections and pointed tips. Wooden spike at centre...</p><p><strong>Materials:</strong> Straw, Oak</p><p><strong>Location:</strong> Asheville, NC</p><p><strong>Category:</strong> Mid-20th Century French French Provincial Armchairs</p>",Antique Furniture Co.,Furniture > Chairs,Chair,"20th Century, French, Straw, Oak",TRUE,Title,Default Title,,,,,ANT-CHAIR-005,10000,shopify,1,deny,manual,0,,TRUE,TRUE,,https://a.1stdibscdn.com/archivesE/upload/f_8899/f_77152931497445239085/_MG_4168_master.jpg?width=2000&quality=90,1,French Country Provence Chair and Ottoman,FALSE,French Country Provence Chair and Ottoman | Antique Furniture Co.,"Diamond point spun straw gathered and tucked at centre. Framed oak with wavy graduated ladderbacks, sloped arms, well turned spindle sections and pointed t",Furniture > Chairs,,,,used,TRUE,,lb,,,TRUE,,,FALSE,,,active
french-country-provence-chair-and-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,https://a.1stdibscdn.com/archivesE/upload/1121189/f_77152931499663874418/7715293_master.jpg?width=2000&quality=90,2,French Country Provence Chair and Ottoman - Image 2,,,,,,,,,,,,,,,,,,,,
